id,korean_name,english_name,kcd,vcode,support,primary_specialty,all_specialties,classification_source,status,orpha_code,orpha_name
1177,KIF1A 유전자 돌연변이에 의한 신경병증,Neuropathy due to KIF1A gene mutation,없음,V900,의료비(급여부분),신경과,"[""신경과""]",manual_primary_whitelist:\bneuropathy\b,분류완료,,
1176,KMT2B-관련 근긴장이상,KMT2B-related dystonia,없음,V900,의료비(급여부분),신경과,"[""신경과""]",en_product3_181.xml,분류완료,589618,Dystonia 28
1175,L1 증후군,L1 syndrome,없음,V900,의료비(급여부분),신경과,"[""신경과""]",en_product3_181.xml,분류완료,275543,L1 syndrome
1174,LRBA 결핍,LRBA deficiency,없음,V900,의료비(급여부분),미분류,[],,미분류,,
1173,Liang Wang 증후군,Liang Wang syndrome,없음,V900,의료비(급여부분),신경과,"[""신경과"", ""심장내과/소아심장과"", ""치과/구강악안면외과""]",en_product3_148.xml; en_product3_181.xml; en_product3_197.xml,리뷰필요,664438,Gingival fibromatosis-aortic root dilatation-facial dysmorphism-intellectual disability syndrome
1172,MED13L 증후군,MED13L syndrome,없음,V900,의료비(급여부분),미분류,[],,미분류,,
1171,MEF2C 관련 증후군,MEF2C-related syndrome,없음,V900,의료비(급여부분),신경과,"[""신경과""]",en_product3_181.xml,분류완료,664410,Brain abnormalities-severe developmental delay-facial dysmorphism-intellectual disability syndrome
1170,MEIS2 관련 장애,MEIS2 related disorder,없음,V900,의료비(급여부분),미분류,[],,미분류,,
1169,METTL23 관련 발달지연,METTL23 related developmental delay,없음,V900,의료비(급여부분),미분류,[],,미분류,,
1168,"MORC2 관련 발달지연, 성장장애, 이상형태성 얼굴 및 축삭신경병증","MORC2 related developmental delay, impaired growth, dysmorphic facies, and axonal neuropathy",없음,V900,의료비(급여부분),신경과,"[""신경과""]",manual_primary_whitelist:\bneuropathy\b,분류완료,,
1167,MUTYH-연관 폴립증 (가족성 선종성 폴립증 2형),MUTYH-associated polyposis (Familial adenomatous polyposis type2),없음,V900,의료비(급여부분),미분류,[],,미분류,,
1166,MYT1L 관련 장애,MYT1L related disorder,없음,V900,의료비(급여부분),미분류,[],,미분류,,
1165,Mesomelia-synostoses 증후군(8번 염색체 장완의 13부분의 미세결손 증후군),Mesomelia-synostoses syndrome(8q13 microdeletion syndrome),없음,V900,의료비(급여부분),미분류,[],,미분류,,
1164,NACC1 관련 장애,NACC1-related disorder,없음,V900,의료비(급여부분),미분류,[],,미분류,,
1163,NALCN 관련 장애,NALCN-related disorder,없음,V900,의료비(급여부분),미분류,[],,미분류,,
1162,NKAP 관련 장애,NKAP related disorder,없음,V900,의료비(급여부분),미분류,[],,미분류,,
1161,NSUN2 관련 발달지연,NSUN2 related developmental delay,없음,V900,의료비(급여부분),미분류,[],,미분류,,
1160,OPHN1 관련 장애,OPHN1-related disorder,없음,V900,의료비(급여부분),미분류,[],,미분류,,
1159,Opitz-G/BBB 증후군,Opitz-G/BBB syndrome,없음,V900,의료비(급여부분),비뇨의학과,"[""비뇨의학과"", ""신경과"", ""안과""]",en_product3_181.xml; en_product3_185.xml; en_product3_189.xml,리뷰필요,2745,Opitz GBBB syndrome
1158,Opitz-Kaveggia 증후군[FG 증후군 1형],Opitz-Kaveggia syndrome[FG syndrome type 1],없음,V900,의료비(급여부분),미분류,[],,미분류,,
1157,PCDH 19 관련 뇌전증 증후군,PCDH 19-related epilepsy syndrome,없음,V900,의료비(급여부분),신경과,"[""신경과""]",manual_primary_whitelist:\bepilepsy\b,분류완료,,
1156,PNKP 관련 발달지연,PNKP related developmental delay,없음,V900,의료비(급여부분),미분류,[],,미분류,,
1155,"POLR2A 관련 장애(저긴장증, 다양한 지적장애, 행동이상을 동반한 신경발달장애)",POLR2A related disorder (Neurodevelopmental disorder with hypotonia and variable intellectual disability and behavioral abnormality),없음,V900,의료비(급여부분),미분류,[],,미분류,,
1154,POLR3A 관련 장애,POLR3A related disorder,없음,V900,의료비(급여부분),미분류,[],,미분류,,
1153,POU3F3 관련 장애 (Snijders Blok-Fisher 증후군),POU3F3-related disorder (Snijders Blok-Fisher syndrome),없음,V900,의료비(급여부분),미분류,[],,미분류,,
1152,PPP2R5D 관련 장애,PPP2R5D-related disorder,없음,V900,의료비(급여부분),미분류,[],,미분류,,
1151,PRR12 관련 신경-눈 증후군,PRR12 related neuro-ocular syndrome,없음,V900,의료비(급여부분),미분류,[],,미분류,,
1150,PTEN 과오종 종양 증후군,PTEN Hamartoma Tumor Syndrome (PHTS),없음,V900,의료비(급여부분),미분류,[],,미분류,,
1149,Primrose 증후군,Primrose syndrome,없음,V900,의료비(급여부분),신경과,"[""신경과"", ""안과""]",en_product3_181.xml; en_product3_189.xml,분류완료,3042,Intellectual disability-cataracts-calcified pinnae-myopathy syndrome
1148,RAFIG 증후군,RAFIG syndrome,없음,V900,의료비(급여부분),미분류,[],,미분류,,
1147,RANBP2 관련 급성 뇌병증,RANBP2 related acute encephalopathy,없음,V900,의료비(급여부분),미분류,[],,미분류,,
1146,RERE 관련 장애,RERE-related disorders,없음,V900,의료비(급여부분),미분류,[],,미분류,,
1145,Rauch-Steindl 증후군,Rauch-Steindl syndrome,없음,V900,의료비(급여부분),신경과,"[""신경과""]",en_product3_181.xml,분류완료,659642,Rauch-Steindl syndrome
1144,Renpenning 증후군,Renpenning syndrome,없음,V900,의료비(급여부분),신경과,"[""신경과""]",en_product3_181.xml,분류완료,3242,Renpenning syndrome
1143,SCN8A 관련 질환,SCN8A related disease,없음,V900,의료비(급여부분),미분류,[],,미분류,,
1142,SECISBP2 관련 장애,SECISBP2 related disorder,없음,V900,의료비(급여부분),미분류,[],,미분류,,
1141,SLC6A1 관련 근간대성-무긴장성-뇌전증,SLC6A1 related myoclonic-atonic epilepsy,없음,V900,의료비(급여부분),신경과,"[""신경과""]",manual_primary_whitelist:\bepilepsy\b,분류완료,,
1140,SLC6A5 관련 병적놀람증,SLC6A5 related hyperekplexia,없음,V900,의료비(급여부분),미분류,[],,미분류,,
1139,SLCO2A1 관련 만성 장병증,SLCO2A1 related chronic enteropathy,없음,V900,의료비(급여부분),미분류,[],,미분류,,
1138,SOX2 관련 장애,SOX2 related disorder,없음,V900,의료비(급여부분),미분류,[],,미분류,,
1137,STAT3 기능 획득 질환,STAT3 gain of function disease,없음,V900,의료비(급여부분),미분류,[],,미분류,,
1136,SYNGAP1 관련 지적장애,SYNGAP1-related intellectual disability,없음,V900,의료비(급여부분),미분류,[],,미분류,,
1135,Schimke 면역-골 형성이상,Schimke immunosseous dysplasia (SIOD),없음,V900,의료비(급여부분),미분류,[],,미분류,,
1134,Snijders Blok-Campeu 증후군,Snijders Blok-Campeu syndrome,없음,V900,의료비(급여부분),미분류,[],,미분류,,
1133,Snyder-Robinson 증후군,Snyder-Robinson syndrome,없음,V900,의료비(급여부분),신경과,"[""신경과""]",en_product3_181.xml,분류완료,3063,"X-linked intellectual disability, Snyder type"
